DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FOM_COST_ID,SOURCE,NOTES
DRYCGT3,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,DRYCGT3,NTNPD,
ROMA_7,ROMA,Roma Gas Turbine Station,QLD1,SWQ,90,Natural Gas (Pipeline),Fossil,0.76408,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6,82.4,ROMA_7,NTNPD,
ROMA_8,ROMA,Roma Gas Turbine Station,QLD1,SWQ,90,Natural Gas (Pipeline),Fossil,0.76408,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6,82.4,ROMA_8,NTNPD,
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,SWNSW,734,Hydro,Hydro,0,SCHEDULED,29,4.06,180,180,180,180,1,1,145,87,58,7,0,0,0,7,HUMENSW,NTNPD,
YABULU2,YABULU,Townsville Gas Turbine,QLD1,NQ,360,Natural Gas (Pipeline),Fossil,0.52449,SCHEDULED,82,0,770,770,340,340,4,4,2050,1230,410,7,7.826086957,0.3,5.621869767,50.99724166,YABULU2,NTNPD,
YABULU,YABULU,Townsville Gas Turbine,QLD1,NQ,360,Natural Gas (Pipeline),Fossil,0.52449,SCHEDULED,160,0,770,770,340,340,4,4,4000,2400,800,7,7.826086957,0.3,5.621869767,50.99724166,YABULU,NTNPD,
BLUFF1,BLUFF,The Bluff Wind Farm,SA1,NSA,9,Wind,Wind,0,SEMI-SCHEDULED,53,0,120,120,120,120,1,1,265,159,106,0,3.6,0,0,0,BLUFF1,NTNPD,
TALWA1,TALLAWAR,Tallawarra Power Station,NSW1,NCEN,514,Natural Gas (Pipeline),Fossil,0.46096,SCHEDULED,440,0,180,180,360,360,4,4,11000,6600,2200,7,7.2,0.3,5.825201823,48.94145313,TALWA1,NTNPD,
TARALGA1,TARALGA,Taralga Wind Farm,NSW1,NCEN,512,Wind,Wind,0,SEMI-SCHEDULED,106,0,620,600,630,620,1,1,530,318,212,0,3.6,0,0,0,Taralga Wind Farm,NTNPD,
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,CAN,506,Hydro,Hydro,0,SCHEDULED,80,4.8,120,120,120,120,1,1,400,240,160,7,0,0,0,7,BLOWERNG,NTNPD,
TORRB4,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,TORRB4,NTNPD,
TORRB3,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,TORRB3,NTNPD,
TORRB2,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,TORRB2,NTNPD,
TORRA2,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,TORRA2,NTNPD,
TORRA1,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,TORRA1,NTNPD,
TORRB1,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.71521,SCHEDULED,200,0,410,280,450,300,1,1,4000,2000,1000,2.1,11.25,0.3,6.362112901,73.67377014,TORRB1,NTNPD,
TORRA3,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,TORRA3,NTNPD,
TORRA4,TORRIS,TORRENS ISLAND POWER STATION,SA1,ADE,796,Natural Gas (Pipeline),Fossil,0.74399,SCHEDULED,120,0,220,40,290,300,1,1,2400,1200,600,2.1,12,0.3,6.362112901,78.44535481,TORRA4,NTNPD,
QPS1,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,QPS1,NTNPD,
QPS3,QUARANTN,Quarantine Power Station,SA1,ADE,130,Natural Gas (Pipeline),Fossil,0.83996,SCHEDULED,24,0,600,600,600,600,1,1,2400,2400,2400,10.4,11.25,0.3,6.629058547,84.97690865,QPS3,NTNPD,
