DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FUEL_COST_ID,SOURCE,COST_TYPE,NOTES
VP5,VP,"Vales Point ""B"" Power Station",NSW1,NCEN,292,Black coal,Fossil,0.95372,SCHEDULED,660,250.8,130,210,290,220,8,8,231000,79200,26400,1,10.16949153,0.1,2.262,24.00338984,Delta Coastal_Vales Point,NTNDP,COAL,
VP6,VP,"Vales Point ""B"" Power Station",NSW1,NCEN,292,Black coal,Fossil,0.95372,SCHEDULED,660,250.8,130,210,290,220,8,8,231000,79200,26400,1,10.16949153,0.1,2.262,24.00338984,Delta Coastal_Vales Point,NTNDP,COAL,
GULLRWF1,GULLRGWF,Gullen Range Wind Farm,NSW1,CAN,415,Wind,Wind,0,SEMI-SCHEDULED,166,0,5000,5000,5000,5000,1,1,830,498,332,0,3.6,0,0,0,,,,
BBTHREE3,BBP31,Bell Bay Three Power Station,TAS1,TAS,778,Natural Gas (Pipeline),Fossil,0.68462,SCHEDULED,35,0,600,600,600,600,1,1,3500,3500,3500,10.4,12.4137931,0.3,6.617023256,92.54235764,Bell Bay Three,NTNDP,GAS,
BDL01,DEIBDL,Bairnsdale Power Station,VIC1,LV,88,Natural Gas (Pipeline),Fossil,0.57086,SCHEDULED,47,0,240,240,240,240,1,1,4700,4700,4700,10.4,10.58823529,0.3,6.213779014,76.19295424,Bairnsdale,NTNDP,GAS,
GSTONE1,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
GSTONE2,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
GSTONE5,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
GSTONE6,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
GSTONE3,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,Gladstone,NTNDP,COAL,
